,glycolysis_score,oxphos_score,metabolic_ratio,metabolic_label
TCGA-AQ-A1H3,-0.35955105704388957,-0.539275356710357,0.1797242996664674,Mixed
TCGA-AQ-A54N,0.33303404689170124,0.19950699943285508,0.13352704745884617,Mixed
TCGA-AQ-A54O,-0.1379859281693083,0.7213816934746233,-0.8593676216439317,Oxidative
TCGA-AQ-A7U7,-0.3771685974790744,-0.8575953759518806,0.48042677847280624,Glycolytic
TCGA-AR-A0TP,0.4026658246083233,0.06585348973161292,0.33681233487671036,Glycolytic
TCGA-AR-A0TQ,0.4932755117963534,-0.065097723186836,0.5583732349831895,Glycolytic
TCGA-AR-A0TR,-0.6248024290037251,-0.20663984803901483,-0.41816258096471026,Oxidative
TCGA-AR-A0TT,0.1378265034297475,-0.48020487479844337,0.6180313782281909,Glycolytic
TCGA-AR-A0TU,0.37117082583150884,0.341290616766299,0.02988020906520983,Mixed
TCGA-AR-A0TV,0.09089699187680048,0.07870827817698292,0.012188713699817555,Mixed
TCGA-AR-A0TW,0.45401306084915494,0.2590397605941473,0.19497330025500764,Mixed
TCGA-AR-A0TX,0.09036168102107882,-0.3901547408712312,0.48051642189231003,Glycolytic
TCGA-AR-A0TZ,-0.7801313057997925,-0.9841088060044687,0.2039775002046762,Glycolytic
TCGA-AR-A0U0,0.2661831315762753,0.978513073931762,-0.7123299423554867,Oxidative
TCGA-AR-A0U2,0.035865243116310466,-0.8375531038608627,0.8734183469771731,Glycolytic
TCGA-AR-A0U3,0.08048718938115765,-0.26404485813089806,0.3445320475120557,Glycolytic
TCGA-AR-A0U4,0.5126906119695143,-0.5043508291932284,1.0170414411627426,Glycolytic
TCGA-AR-A1AI,0.6112565219878722,-0.25268849492848267,0.8639450169163548,Glycolytic
TCGA-AR-A1AJ,0.30922539873034066,-0.5542296307027976,0.8634550294331382,Glycolytic
TCGA-AR-A1AK,-0.16631568218206974,-0.37572988111171657,0.20941419892964683,Glycolytic
TCGA-AR-A1AL,-0.46542245142272654,-0.7206529558794144,0.2552305044566878,Glycolytic
TCGA-AR-A1AM,-0.2315707774168315,-0.223579879888177,-0.007990897528654478,Mixed
TCGA-AR-A1AN,-0.06763403723828955,0.011522141121706327,-0.07915617835999587,Mixed
TCGA-AR-A1AO,0.33716643973167937,-0.010261443340959981,0.34742788307263933,Glycolytic
TCGA-AR-A1AP,0.4597309683336009,-0.32846142284042734,0.7881923911740283,Glycolytic
TCGA-AR-A1AQ,0.5301570878413024,0.06198006358455125,0.4681770242567512,Glycolytic
